CVE-2013-7269,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,hash_sendpage,NA,vcc_insert_socket,atalk_search_socket,ax25_connect,rfcomm_sock_destruct,skcipher_wait_for_wmem,hash_recvmsg,rfcomm_get_sock_by_channel,ax25_ioctl
CVE-2013-7268,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,hash_sendpage,NA,vcc_insert_socket,atalk_search_socket,ax25_connect,rfcomm_sock_destruct,skcipher_wait_for_wmem,hash_recvmsg,rfcomm_get_sock_by_channel,ax25_ioctl
CVE-2013-7267,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,hash_sendpage,NA,vcc_insert_socket,atalk_search_socket,ax25_connect,rfcomm_sock_destruct,skcipher_wait_for_wmem,hash_recvmsg,rfcomm_get_sock_by_channel,ax25_ioctl
CVE-2013-7266,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,hash_sendpage,NA,vcc_insert_socket,atalk_search_socket,ax25_connect,rfcomm_sock_destruct,skcipher_wait_for_wmem,hash_recvmsg,rfcomm_get_sock_by_channel,ax25_ioctl
CVE-2013-7265,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,udpv6_recvmsg,raw_recvmsg,pn_recvmsg,ping_recvmsg,rawv6_recvmsg,dgram_recvmsg,udp_recvmsg,l2tp_ip_recvmsg
CVE-2013-7264,20,,+Info,2014-01-06,2014-03-16,4.9,None,Local,Low,Not required,Complete,None,None,udpv6_recvmsg,raw_recvmsg,pn_recvmsg,ping_recvmsg,rawv6_recvmsg,dgram_recvmsg,udp_recvmsg,l2tp_ip_recvmsg
CVE-2013-7263,20,,+Info,2014-01-06,2015-06-03,4.9,None,Local,Low,Not required,Complete,None,None,udpv6_recvmsg,raw_recvmsg,pn_recvmsg,ping_recvmsg,rawv6_recvmsg,dgram_recvmsg,udp_recvmsg,l2tp_ip_recvmsg
CVE-2013-6335,264,,Bypass,2014-08-26,2014-09-04,2.6,None,Local,High,Not required,Partial,Partial,None,NA
CVE-2012-6657,264,,DoS,2014-09-28,2015-05-11,4.9,None,Local,Low,Not required,None,None,Complete,sock_setsockopt
CVE-2012-6647,20,,DoS,2014-05-26,2014-06-27,4.9,None,Local,Low,Not required,None,None,Complete,futex_wait_requeue_pi
CVE-2012-6638,399,,DoS,2014-02-15,2014-02-18,7.8,None,Remote,Low,Not required,None,None,Complete,tcp_rcv_state_process
CVE-2011-2909,200,,+Info,2014-02-15,2014-02-18,4.9,None,Local,Low,Not required,Complete,None,None,do_devinfo_ioctl
CVE-2010-5313,362,,DoS,2014-11-29,2015-04-06,4.9,None,Local,Low,Not required,None,None,Complete,handle_emulation_failure
